gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,seed_reach,pass_through,depth,is_seed,boundary_censored,isolated
100000000011452100,consolidator,0.51227800,0,0.41745600,"Плательщиков 3; получателей 1; вход 110,000 KZT; выход/вход 15%; seed-предков 1.",3,1,110000.00000000,16685.00000000,7,2,0.00047686,0.00000000,1,0.15168182,1,False,False,False
100000000018102100,peripheral,0.00000000,0,0.24836300,"Плательщиков 1; получателей 0; вход 7,000 KZT; выход/вход 0%; seed-предков 1. Граница depth=4: удержание неизвестно.",1,0,7000.00000000,0.00000000,1,0,0.00032040,0.00000000,1,0.00000000,4,False,True,False
100000000031787100,transit,0.83333300,1,0.37944000,"Плательщиков 1; получателей 2; вход 90,000 KZT; выход/вход 100%; seed-предков 1.",1,2,90000.00000000,90000.00000000,2,4,0.00043154,0.00000000,1,1.00000000,2,False,False,False
100000000041368100,terminal,0.66628100,2,0.37581500,"Плательщиков 1; получателей 0; вход 160,000 KZT; выход/вход 0%; seed-предков 4.",1,0,160000.00000000,0.00000000,1,0,0.00031761,0.00000000,4,0.00000000,1,False,False,False
100000000076451100,peripheral,0.00000000,3,0.84902600,"Плательщиков 3; получателей 4; вход 87,707 KZT; выход/вход 66%; seed-предков 3.",3,4,87707.00000000,58000.00000000,4,4,0.00139620,0.00008696,3,0.66129271,2,False,False,False
100000000089154100,distributor,0.79711800,0,0.45753600,"Плательщиков 1; получателей 15; вход 10,000 KZT; выход/вход 4255%; seed-предков 1.",1,15,10000.00000000,425500.00000000,1,21,0.00028745,0.00010035,1,42.55000000,1,False,False,False
100000000190228100,peripheral,0.00000000,4,0.53608500,"Плательщиков 1; получателей 1; вход 5,000 KZT; выход/вход 571%; seed-предков 3.",1,1,5000.00000000,28560.00000000,1,1,0.00058201,0.00001739,3,5.71200000,2,False,False,False
100000000201868100,transit,0.66666700,5,0.38500900,"Плательщиков 1; получателей 1; вход 190,000 KZT; выход/вход 100%; seed-предков 1.",1,1,190000.00000000,190000.00000000,1,1,0.00097464,0.00000000,1,1.00000000,2,False,False,False
100000000254336100,peripheral,0.00000000,0,0.40526600,"Плательщиков 2; получателей 1; вход 97,177 KZT; выход/вход 62%; seed-предков 2.",2,1,97177.00000000,60000.00000000,2,1,0.00029194,0.00001739,2,0.61743005,3,False,False,False
100000000267734100,peripheral,0.00000000,1,0.63271800,"Плательщиков 2; получателей 7; вход 180,000 KZT; выход/вход 157%; seed-предков 1.",2,7,180000.00000000,282000.00000000,4,8,0.00053732,0.00002783,1,1.56666667,1,False,False,False
100000000274067100,peripheral,0.00000000,1,0.46696600,"Плательщиков 2; получателей 3; вход 517,704 KZT; выход/вход 573%; seed-предков 1.",2,3,517704.00000000,2969000.00000000,9,9,0.00041370,0.00000000,1,5.73493734,1,False,False,False
100000000287768100,terminal,0.66628100,0,0.13957000,"Плательщиков 1; получателей 0; вход 35,168 KZT; выход/вход 0%; seed-предков 1.",1,0,35168.00000000,0.00000000,1,0,0.00028869,0.00000000,1,0.00000000,3,False,False,False
100000000288317100,peripheral,0.00000000,0,0.56845300,"Плательщиков 2; получателей 3; вход 100,000 KZT; выход/вход 54%; seed-предков 1.",2,3,100000.00000000,53500.00000000,2,3,0.00031283,0.00005218,1,0.53500000,3,False,False,False
100000000291906100,transit,0.56279600,6,0.67105100,"Плательщиков 2; получателей 2; вход 388,000 KZT; выход/вход 117%; seed-предков 1.",2,2,388000.00000000,455854.00000000,3,6,0.00076294,0.00007012,1,1.17488144,2,False,False,False
100000000291908100,peripheral,0.00000000,6,0.48173800,"Плательщиков 1; получателей 1; вход 295,500 KZT; выход/вход 5%; seed-предков 1.",1,1,295500.00000000,13300.00000000,5,1,0.00070655,0.00002087,1,0.04500846,3,False,False,False
100000000297649100,peripheral,0.00000000,7,0.51190000,"Плательщиков 1; получателей 1; вход 40,000 KZT; выход/вход 176%; seed-предков 4.",1,1,40000.00000000,70600.00000000,1,2,0.00080914,0.00000000,4,1.76500000,2,False,False,False
100000000299820100,peripheral,0.00000000,8,0.29883500,"Плательщиков 1; получателей 0; вход 10,000 KZT; выход/вход 0%; seed-предков 1. Граница depth=4: удержание неизвестно.",1,0,10000.00000000,0.00000000,1,0,0.00045016,0.00000000,1,0.00000000,4,False,True,False
100000000307908100,terminal,0.66628100,9,0.19385500,"Плательщиков 1; получателей 0; вход 5,000 KZT; выход/вход 0%; seed-предков 1.",1,0,5000.00000000,0.00000000,1,0,0.00029643,0.00000000,1,0.00000000,2,False,False,False
100000000331309100,coordinator,0.95660700,10,0.95813200,"Плательщиков 5; получателей 99; вход 984,635 KZT; выход/вход 2336%; seed-предков 4.",5,99,984635.00000000,23001375.00000000,8,126,0.00087569,0.00282608,4,23.36030610,2,False,False,False
100000000332284100,peripheral,0.00000000,10,0.83739400,"Плательщиков 10; получателей 3; вход 107,426 KZT; выход/вход 269%; seed-предков 3.",10,3,107426.00000000,289500.00000000,12,3,0.00071709,0.00009571,3,2.69487833,2,False,False,False
100000000343175100,coordinator,0.68674600,11,0.94333300,"Плательщиков 8; получателей 31; вход 178,712 KZT; выход/вход 2238%; seed-предков 4. Seed: вход неполный.",8,31,178712.00000000,4000039.00000000,14,33,0.00071326,0.00090595,4,22.38259882,0,True,False,False
100000000369781100,peripheral,0.00000000,10,0.42530700,"Плательщиков 1; получателей 0; вход 5,000 KZT; выход/вход 0%; seed-предков 3. Граница depth=4: удержание неизвестно.",1,0,5000.00000000,0.00000000,1,0,0.00053248,0.00000000,3,0.00000000,4,False,True,False
100000000375150100,peripheral,0.00000000,12,0.34324900,"Плательщиков 1; получателей 0; вход 300,000 KZT; выход/вход 0%; seed-предков 1. Граница depth=4: удержание неизвестно.",1,0,300000.00000000,0.00000000,1,0,0.00074638,0.00000000,1,0.00000000,4,False,True,False
100000000404740100,peripheral,0.00000000,13,0.32777100,"Плательщиков 1; получателей 0; вход 25,000 KZT; выход/вход 0%; seed-предков 1. Граница depth=4: удержание неизвестно.",1,0,25000.00000000,0.00000000,1,0,0.00055799,0.00000000,1,0.00000000,4,False,True,False
100000000408846100,terminal,0.66628100,14,0.19026600,"Плательщиков 1; получателей 0; вход 40,500 KZT; выход/вход 0%; seed-предков 1.",1,0,40500.00000000,0.00000000,1,0,0.00029573,0.00000000,1,0.00000000,3,False,False,False
100000000413678100,peripheral,0.00000000,8,0.65208100,"Плательщиков 2; получателей 3; вход 306,500 KZT; выход/вход 172%; seed-предков 3.",2,3,306500.00000000,528198.00000000,2,18,0.00030070,0.00005218,3,1.72332137,3,False,False,False
100000000424935100,peripheral,0.00000000,15,0.21213600,"Плательщиков 1; получателей 0; вход 15,000 KZT; выход/вход 0%; seed-предков 1. Граница depth=4: удержание неизвестно.",1,0,15000.00000000,0.00000000,1,0,0.00030145,0.00000000,1,0.00000000,4,False,True,False
100000000425407100,terminal,0.66628100,2,0.22077300,"Плательщиков 1; получателей 0; вход 20,000 KZT; выход/вход 0%; seed-предков 1.",1,0,20000.00000000,0.00000000,1,0,0.00030509,0.00000000,1,0.00000000,2,False,False,False
100000000437046100,coordinator,0.98639100,0,0.95309200,"Плательщиков 9; получателей 42; вход 1,107,200 KZT; выход/вход 687%; seed-предков 4.",9,42,1107200.00000000,7606224.00000000,20,73,0.00079249,0.00198852,4,6.86978324,2,False,False,False
100000000440392100,terminal,0.83552400,16,0.26924400,"Плательщиков 1; получателей 0; вход 105,705 KZT; выход/вход 0%; seed-предков 2.",1,0,105705.00000000,0.00000000,4,0,0.00029693,0.00000000,2,0.00000000,1,False,False,False
100000000456947100,peripheral,0.00000000,17,0.00000000,Плательщиков 0; получателей 0; вход 0 KZT; выход/вход н/д; seed-предков 0. Нет рёбер: недостаточно наблюдений.,0,0,0.00000000,0.00000000,0,0,0.00028557,0.00000000,0,,0,True,False,True
100000000470237100,peripheral,0.00000000,15,0.33169700,"Плательщиков 1; получателей 0; вход 32,500 KZT; выход/вход 0%; seed-предков 1. Граница depth=4: удержание неизвестно.",1,0,32500.00000000,0.00000000,1,0,0.00058463,0.00000000,1,0.00000000,4,False,True,False
100000000481716100,terminal,0.66628100,18,0.28122600,"Плательщиков 1; получателей 0; вход 8,000 KZT; выход/вход 0%; seed-предков 1.",1,0,8000.00000000,0.00000000,1,0,0.00037715,0.00000000,1,0.00000000,3,False,False,False
100000000489417100,transit,0.51937300,12,0.53497700,"Плательщиков 3; получателей 1; вход 73,504 KZT; выход/вход 109%; seed-предков 2.",3,1,73504.00000000,80000.00000000,3,1,0.00055176,0.00001130,2,1.08837614,2,False,False,False
100000000490383100,peripheral,0.00000000,16,0.79784300,"Плательщиков 3; получателей 8; вход 62,600 KZT; выход/вход 737%; seed-предков 3.",3,8,62600.00000000,461375.00000000,3,9,0.00054804,0.00004522,3,7.37020767,2,False,False,False
100000000500040100,peripheral,0.00000000,0,0.29661000,"Плательщиков 1; получателей 0; вход 20,000 KZT; выход/вход 0%; seed-предков 2. Граница depth=4: удержание неизвестно.",1,0,20000.00000000,0.00000000,1,0,0.00030605,0.00000000,2,0.00000000,4,False,True,False
100000000507799100,peripheral,0.00000000,19,0.41789200,"Плательщиков 1; получателей 1; вход 5,132 KZT; выход/вход 156%; seed-предков 2.",1,1,5132.00000000,8000.00000000,1,1,0.00028612,0.00010435,2,1.55884645,1,False,False,False
